textid,Words (split by space),label

1,senator carl krueger thinks ipods can kill you,surprise
2,who is prince frederic von anhalt,surprise
3,prestige has magic touch,surprise
4,study female seals picky about mates,joy
5,no e book for harry potter vii,joy
6,blair apologises over friendly fire inquest,sad
7,vegetables may boost brain power in older adults,surprise
8,afghan forces retake town that was overrun by taliban,sad
9,skip the showers male sweat turns women on study says,surprise
10,made in china irks some burberry shoppers,joy
11,britain to restrict immigrants from new eu members,joy
12,canadian breakthrough offers hope on autism,surprise
13,russia to strengthen its military muscle,fear
14,alzheimer s drugs offer no help study finds,joy
15,uk police slammed over terror raid,fear
16,no rejects police state claim,fear
17,oprah announces new book club pick,joy
18,smith can t be buried until hearing,sad
19,african nation hopes whoopi can help,sad
20,tourism lags in bush s hometown,joy
21,air france klm profit rises,joy
22,au regrets sudan s expulsion of un envoy,surprise
23,taiwan s mr clean indicted steps down,sad
24,martian life could have evaded detection by viking landers,surprise
25,turner pays for boston bombing,sad
26,serena misses bangalore tournament,surprise
27,attorneys point fingers in fight between ryan o neal and son,joy
28,pledge i was abused in frat hazing,surprise
29,whistle blowing web site exposed,disgust
30,growing unarmed battalion in qaeda army is using internet to get the message out,joy
31,royal rescues presidential hopes with commanding performance,joy
32,minister slams airlines on carbon,surprise
33,audio slide show a love story lasting years,sad
34,fully cooked chicken strips recalled,fear
35,madonna adoption bid approved,joy
36,rowdy fans ejected from the open,joy
37,snow wreaks havoc in east midwest,surprise
38,the energy challenge exotic visions how to cool a planet maybe,surprise
39,libby defense upsets judge rests,anger
40,briton admits u s bomb plot role,fear
41,routine mission turns into hunt for missing comrade,joy
42,ex suspect slams anti terror laws,fear
43,federer overcomes a ragged start,joy
44,investigation of child porn site hits nations,disgust
45,bangladesh ends curfew amid unrest,surprise
46,sarkozy comfort zone offers a royal opportunity,joy
47,sick hearts switch on a fetal gene,joy
48,chinese president arrives in mozambique african tour nearly over,joy
49,homemade bombs kill on indian train,sad
50,france rejects rwandan investigators,fear
51,at libby trial russert of nbc gives and gets,joy
52,rare optimism as north korea talks reach crossroads,joy
53,for women nothing s like the smell of men s sweat,surprise
54,reports harvard set to name first female president,joy
55,justin timberlake cameron diaz announce split,sad
56,hastert sorry for scandal but not quitting,disgust
57,world s oldest newspaper now exists only online,sad
58,houston she s got some problems,joy
59,firms on alert for letter bombs,surprise
60,study africa s internet gap getting wider,anger
61,siesta cuts risk of heart disease death study finds,joy
62,spain ahead although nadal is out,joy
63,runway making good without making nice,joy
64,russia plans new icbms nuclear subs,fear
65,no buyer in sight for napster,surprise
66,outcry at n korea nuclear test,joy
67,ipod good for video games,joy
68,taking the plunge,surprise
69,england include giles in wc squad,sad
70,beyonce copyright claim rejected,surprise
71,london market a shopping dining haven,joy
72,pm havana deal a good experiment,anger
73,dozens killed in baghdad bombing,sad
74,damaged japanese whaling ship may resume hunting off antarctica,sad
75,un nuclear watchdog slashes iran aid,fear
76,toyota s scion parks in second life,joy
77,telecoms giant slashes jobs,sad
78,canete wins inaugural joburg open,joy
79,yahoo s mission quest,joy
80,weekly nielsen will lost find its way back,joy
81,u s online love brokers eye china,sad
82,amish schoolhouse torn down,sad
83,china cheney shores up the trilateral alliance,joy
84,g yen skates by yuan singled out,fear
85,friendly fire pilot experienced,fear
86,updates on world s top stories,fear
87,diplomat acknowledges us arrogance in iraq,sad
88,madonna s new baby s daddy didn t realize adoption was for good,joy
89,appeal by chinese researcher for times may soon be heard,joy
90,snowbirds shortening their florida stays,sad
91,oxfam action needed for chad,surprise
92,bush adamant on troops to iraq,fear
93,ukraine gas deal marred by fears,joy
94,shoplifters choice police or t shirt of shame,surprise
95,travel chaos as heavy snow hits uk,fear
96,tow truck drivers accused of stealing cars,joy
97,joseph wambaugh s new start,joy
98,human error caused helios crash,sad
99,charts is your city lean or lethargic,surprise
100,st louis poised for entertainment upswing,joy
101,ivrea journal in italian town a civics lesson from pelting neighbors,fear
102,review virtual american idol hits right notes,joy
103,squadron apologies over friendly fire death,sad
104,the breast cancer breakthrough saving women a year,joy
105,abbas rejects temporary state,fear
106,iraqi forces detain official suspected in shia conspiracy,sad
107,congressman rebukes u s allies for lack of support in afghanistan,fear
108,easy ways to really save,surprise
109,real suffer carlos injury setback,joy
110,marijuana may stave off alzheimer s,joy
111,smokestacks in a white wilderness divide iceland,joy
112,paris journal smoking no longer tres chic in france,sad
113,cher s dress car bed have new owners,joy
114,hungarian opposition calls for vote after violence escalates,fear
115,freed kidnap suspect my terror at police raid,fear
116,rockers big winners at brit awards,joy
117,cia leak trial summary,fear
118,experts issue new heart disease guidelines for women,surprise
119,in god s name religion based tax breaks housing to paychecks to books,joy
120,snow causes transport chaos in britain,sad
121,injured sarwan to miss one dayers,joy
122,study napping might help heart,joy
123,tailors and housewives busy as muslims celebrate eid,joy
124,malaysia aggressively wooing tourists,sad
125,creating a whole album in a month,surprise
126,wellcome awards anti fat research,joy
127,can t do this anymore not jack,joy
128,iran s boast on uranium enrichment is put to test,fear
129,iraq closes borders with syria and iran,joy
130,in clue to addiction brain injury halts smoking,surprise
131,manning inspires giants to victory in dallas,joy
132,research supports medicinal marijuana,joy
133,iraq insurgents attack us base,sad
134,fire extinguisher part of tennessee execution kit,sad
135,city sets up ice storm shelters,joy
136,gently weeps lyrics sheet up for sale,joy
137,cholesterol link in diabetes study,surprise
138,zoo polar bear to have root canal,joy
139,howard slams obama on iraq policy,joy
140,fight starts over hpv vaccine,joy
141,obama announces presidential bid,joy
142,another death at georgia aquarium,sad
143,johnny depp to make movie of spy poisoning,joy
144,pap test a mainstay against cervical cancer may be fading,sad
145,boy allegedly told to kill by mom gives up,sad
146,catania punished for fan violence,sad
147,the summit a slap in the face of the palestinians,surprise
148,dead bachelors in remote china still find wives,sad
149,boy missing since found alive,joy
150,girl left comatose after dental visit dies,sad
151,fine wines in british columbia,fear
152,bollywood s brangelina engaged,joy
153,north korea ready to discuss nuke disarmament,joy
154,action intensity boosts vision,surprise
155,stonehenge workers village found,joy
156,scientists tout cocoa s health benefits,joy
157,can north korea be trusted,joy
158,trailblazing trio protects city by the bay,surprise
159,ganguly handed india squad call up,joy
160,beauticians cut curl offer stroke prevention info,joy
161,studios sign off on movie downloads,joy
